company_name,profile_url,company_web_site_url,location,tags,short_description,founding_date,founders,employee_range,emails,phones,description
Cashtree,https://e27.co/cashtree,http://www.cashtree.id/,Indonesia,"[[""Advertising"",""Mobile"",""Software as a Service""]]",Cash tree is an android application that gives free mobile cash and advertise through lockscreen, , , , , , 
ResponSight,https://e27.co/responsight,http://www.responsight.com/,Australia,"[[""Enterprise Solution"",""Cybersecurity""]]",ResponSight is about trust - customers want to trust your business; staff want to trust the systems and network; and you want to trust your people are protecting both the business and your customers., , , , , , 
WordpressWebsite.in - Wordpress Development Company,https://e27.co/wordpresswebsite-in,http://www.wordpresswebsite.in/,India,"[[""Design "",""E-commerce"",""Information & Communications Technology""]]","WordpressWebsite.in is a leading WordPress web development company based in India. We build elegant, handy, adaptable and responsive websites using the power of Wordpress platform.", , , , , , 
Live Your Sport,https://e27.co/live-your-sport,http://www.liveyoursport.com/,India,"[[""E-commerce"",""Sports""]]","Live Your Sport is an online one-stop shop and community committed to helping sports and fitness lovers find the best equipment and gain insight into various aspects of health, injury and recovery.", , , , , , 
Nemmadi,https://e27.co/nemmadi,https://www.nemmadi.in/,India,,"A leader in Home Inspection & Pre Delivery Quality Inspection services, in India. Nemmadi offers you complete peace of mind.", , , , , , 
MBD Connect,https://e27.co/mbd-connect,https://www.mbdconnect.com/,India,,MBD Connect is a comprehensive school management ERP system that ensures the systematize running of a school and enhance the efficiency. MBD Connect aims to ease out the stress behind the working of t, , , , , , 
DKSH ,https://e27.co/dksh,http://www.dksh.com/cs/dksh_com/o/home,Switzerland,"[[""Agency & Consulting"",""Logistics/Supply Chain"",""Agency & Agency & Consulting"",""Advertising""]]",DKSH is the leading Market Expansion Services Group with a focus on Asia. They help companies who are looking for a reliable outsourcing partner to grow their business in new or existing markets., , , , , , 
Sandklock,https://e27.co/sandklock,http://www.sandklock.com/,Vietnam,"[[""Big Data"",""E-commerce"",""Platform"",""Information & Communications Technology""]]",Sandklock delivers technology services and improve companies by solving complex business challenges with breakthrough technical innovations., , , , , , 
Coffitude,https://e27.co/coffitude,http://www.coffitude.com/,India,"[[""Food & Beverage""]]","Coffitude-health on the go, India's first mobile health cafe serves ""Quality health in your Cup""", , , , , , 
42Lab,https://e27.co/42labs,http://www.42la.bs/,Hong Kong,"[[""Agency & Consulting"",""Mobile"",""Agency & Agency & Consulting"",""Information & Communications Technology""]]","42Labs is a software consultancy, R&D and coding mentoring company", , , , , , 
Treasure Hunter,https://e27.co/treasure-hunter,http://www.treasurehunter.co.kr/,South Korea,"[[""Advertising"",""E-commerce"",""Media""]]",Treasure Hunter as a “Next Media” business is pioneering the Asian mobile video content market. Treasure Hunter provides its users with a service that delivers fun content anywhere and anytime., , , , , , 
Nexus Mediaworks Consulting Sdn Bhd,https://e27.co/nexus-mediaworks-consulting-sdn-bhd,https://www.nexusmediacorp.com,Malaysia,"[[""Agency & Consulting""]]",An SEO company focusing very much on developing next generation of SEO PaaS System Automation using AI, , , , , , 
Jobtify,https://e27.co/jobtify,http://www.facebook.com/jobtify.co,Singapore,,Jobtify is a platform that notifies job seekers on quality freelance/part-time jobs opportunities in Singapore., , , , , , 
PT Global Tiket Network,https://e27.co/pt-global-tiket-network,http://www.tiket.com/,Indonesia,"[[""E-commerce"",""Transportation"",""Travel""]]",Tiket.com is the fastest growing online travel booking in Indonesia. Tiket.com focused heavily on domestic flights and hotels reservation in Indonesia., , , , , , 
SOINN Inc.,https://e27.co/soinn-inc,http://soinn.com/index.html,Japan,"[[""Big Data"",""Software as a Service""]]","SOINN Co., Ltd., offers a wide range of solutions that take advantage of the artificial brain SOINN technology.", , , , , , 
Future Stage Creations,https://e27.co/future-stage-creations-pte-ltd,http://www.futurestage.com.sg,Singapore,"[[""Advertising"",""Agency & Consulting"",""Design "",""Agency & Agency & Consulting"",""Entertainment""]]","FUTURE STAGE CREATIONS is active in Planning, rental and operation of audio systems for rock and pop concert and other events. ", , , , , , 
Altigreen Propulsion Labs,https://e27.co/altigreen-propulsion-labs,http://altigreen.in/,India,"[[""Energy""]]",Altigreen has created proprietary technology to facilitate the migration of road transport from standard fuels towards greener electric alternatives., , , , , , 
VENTURE UP,https://e27.co/venture-up,https://ventureup.com/,United States of America,"[[""Agency & Consulting""]]","Started its journey in 1983, Venture UP provides the fun-oriented group activities and events for corporate offices aimed at enhancing team spirits, improving relationships and employee engagement.", , , , , , 
AttainU,https://e27.co/attainu,https://www.attainu.com/,India,"[[""Education""]]",On a mission to build a scalable high-quality college alternative in India., , , , , , 
Chiiwii - Telemed,https://e27.co/chiiwii-telemed,http://www.chiiwii.com,Thailand,"[[""Healthtech""]]","Chiiwii mobile app providing accessible health consultation for women in the most efficient way. You can make appointment to connect with your preferred specialist via VDO call, voice call, chat.", , , , , , 
Instappy ,https://e27.co/instappy,http://www.instappy.com/,India,"[[""Mobile"",""Software as a Service"",""Agency & Consulting"",""Information & Communications Technology""]]",Instappy.com is a leading cloud-based app creation platform fast gaining popularity with users worldwide., , , , , , 
Peggo ,https://e27.co/peggo,https://www.peggopro.com/,United States of America,,Youtube and Soundcloud are two well-known video hosting sites in the world. Sometimes we utilize these multi-media portals only to listen to beautiful soundtracks than watching a particular video., , , , , , 
Bali Muslim Wedding & Honeymoon ,https://e27.co/bali-muslim-wedding-honeymoon,http://balimuslimwedding.com,Indonesia,"[[""Travel""]]",BaliMuslimWedding.com is unique online travel platform focusing on wedding  and honeymoon package promoting  local wedding venues and honeymoon accommodation  as well as  local activities across Bali, , , , , , 
info casting,https://e27.co/info-casting,http://casting.id,Indonesia,"[[""Advertising"",""Entertainment"",""Media"",""PR & Communications""]]",CASTING.ID is a media of casting and media information for media and film production house. Opening opportunities for newcomers to model & talent in the entertainment world., , , , , , 
Toppers Notes,https://e27.co/toppers-notes,http://www.toppersnotes.com/,India,"[[""Education""]]",ToppersNotes is an advanced educational portal started by IITians to bridge this preparation gap between a topper & average student, , , , , , 
CHEMISTRY India ,https://e27.co/chemistry-india,http://www.chemistryindia.com/,India,"[[""E-commerce"",""Retail""]]","CHEMISTRY is a fast growing women's fashion brand, specializing in both woven and knit segments.", , , , , , 
Between,https://e27.co/between-app-vcnc,http://between.us,Thailand,"[[""Mobile"",""Social Enterprise""]]","Between is currently the leading mobile couple application, with over 15 millions downloads. Their main markets are in South Korea, Tokyo, Japan, Taiwan, Singapore and Thailand.", , , , , , 
Tips,https://e27.co/tips,http://tips.com,United States of America,,Tips to get online help., , , , , , 
HelloGold,https://e27.co/hellogold,http://www.hellogold.com,Malaysia,"[[""Consumer"",""Finance"",""Mobile""]]","HelloGold is a financial services blockchain platform for mass market consumers in emerging markets to save, borrow and send real assets, starting with gold.", , , , , , 
Onytree Sdn Bhd,https://e27.co/onytree-sdn-bhd,http://www.upocket.com.my,Malaysia,"[[""Big Data"",""E-commerce"",""Food & Beverage"",""Mobile"",""Software as a Service""]]","Upocket app is One membership platform, to group all restaurants discount card in one. That enables user to conveniently COLLECT, SUBSCRIBE and STORE membership data.

thus the slogan: Easy for You", , , , , , 
AppSocially,https://e27.co/appsocially,http://appsocial.ly/,Japan,"[[""Big Data"",""Mobile"",""Software as a Service""]]",AppSocially (http://appsocial.ly) is an easy-to-use tool for mobile app developers to integrate customer-acquisition functions into their apps., , , , , , 
OneDee,https://e27.co/onedee-io,https://www.onedee.io,Thailand,"[[""Enterprise Solution"",""Software as a Service"",""Agency & Consulting""]]",We are cloud based HR Online platform and time attendance on the mobile application for small business that can help your business easier. Saving time and money. Just take time to grow your business, , , , , , 
NextID,https://e27.co/nextid,https://nextid.com,Singapore,,"NextID's offers a certificate issuance service that helps you produce next generation academic & professional certificates, that are cryptographically secure and verifiable.", , , , , , 
Muuve,https://e27.co/muuve,https://muuve.biz/,Cambodia,"[[""Food & Beverage""]]",Delivering Your Favorite Meal. Your favorite food can't wait to be eaten., , , , , , 
BuyBitcoin.ph,https://e27.co/buybitcoin-ph,https://buybitcoin.ph/,Philippines,"[[""Blockchain"",""Finance""]]",BuyBitcoin.ph works to spread the use of Bitcoin in the Philippines. This is done by running a service that makes it easier and faster to buy and sell bitcoins. , , , , , , 
Blockchain Foundry,https://e27.co/blockchain-foundry,http://www.blockchainfoundry.com/,Singapore,,Blockchain Foundry is an enterprise Blockchain Platform-as-a-Service and App Marketplace.The goal is to offer a lab like environment to help organizations test-drive blockchain applications., , , , , , 
MyCourseBook,https://e27.co/mycoursebook,https://www.mycoursebook.in,India,"[[""E-commerce""]]","Mycoursebook provides the books online at best price with fastest Delivery, with customer support available all weekdays. We have been delivering results since decades in this business.", , , , , , 
Muuyu,https://e27.co/muuyu,https://muuyu.com/,Singapore,"[[""Healthtech""]]","Muuyu is an online yoga platform which enables you to do live, interactive classes with teachers from all over the world at any time and in any space.", , , , , , 
CW2GREEN Co.Ltd.,https://e27.co/cw2green-co-ltd,http://www.cw2green.com,Thailand,"[[""Agritech"",""Energy"",""Internet of Things"",""Manufacturing""]]",to green technologogy, , , , , , 
ShopSmart.xyz,https://e27.co/shopsmart,http://shopsmart.xyz,Thailand,"[[""Consumer"",""E-commerce"",""Information & Communications Technology""]]",ShopSmart is a price comparison and community coupon site providing discounts and coupon codes for Southeast Asia, , , , , , 
Silamedia,https://e27.co/silamedia,http://silamedia.id,Indonesia,,SilaMedia is a company engaged in the field of Digital Consultants and Training. The special part of us is about Service and Training Service., , , , , , 
Audenki,https://e27.co/audenki,http://audenki.co,Singapore,"[[""Big Data"",""Advertising"",""Media"",""Mobile"",""Information & Communications Technology""]]","Audenki is an integrated ticketing gateway, real time social media streaming, management and analytic platform for event marketers, advertising agencies, corporate companies, hotels and FMCG industry.", , , , , , 
